人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
906,豊島 与志雄,42423,人の国,新字新仮名,,tatsuki,小林繁雄、門田裕志,公開,2007-11-05,豊島与志雄著作集　第二巻（小説Ⅱ）,未来社,1965（昭和40）年12月15日第1刷,1965（昭和40）年12月15日第1刷
255,国枝 史郎,43773,岷山の隠士,新字新仮名,,阿和泉拓,小林繁雄、門田裕志,公開,2005-10-13,国枝史郎伝奇全集　巻六,未知谷,1993（平成5）年9月30日初版,1993（平成5）年9月30日初版
984,葛西 善蔵,51222,椎の若葉,旧字旧仮名,,川山隆,門田裕志,公開,2011-06-09,子をつれて,岩波文庫、岩波書店,2009（平成21）年2月19日第9刷,2009（平成21）年2月19日第9刷
1569,中谷 宇吉郎,59593,石碑,新字新仮名,,砂場清隆,室瀬皆実,公開,2021-05-31,中谷宇吉郎随筆選集第一巻,朝日新聞社,1966（昭和41）年6月20日,1966（昭和41）年6月20日
1585,槙村 浩,53667,同志下司順吉,新字新仮名,,坂本真一,雪森,公開,2015-06-09,槇村浩詩集,平和資料館・草の家、飛鳥出版室,2003（平成15）年3月15日,2003（平成15）年3月15日
38,国木田 独歩,42208,まぼろし,新字新仮名,,土屋隆,門田裕志,公開,2012-09-14,武蔵野,岩波文庫、岩波書店,2002（平成14）年4月5日第77刷,1993（平成5）年9月20日第67刷
74,梶井 基次郎,411,愛撫,新字新仮名,,j.utiyama,高橋美奈子,公開,1999-01-11,檸檬・ある心の風景　他二十編,旺文社文庫、旺文社,1974（昭和49）年第4刷,1974（昭和49）年第4刷
1030,堀 辰雄,47952,Ein Zwei Drei,旧字旧仮名,,tatsuki,染川隆俊,公開,2010-04-02,堀辰雄作品集第四卷,筑摩書房,1982（昭和57）年8月30日初版第1刷,1982（昭和57）年8月30日初版第1刷　
311,宮本 百合子,3920,上林からの手紙,新字新仮名,,柴田卓治,磐余彦,公開,2003-12-03,宮本百合子全集　第十七巻,新日本出版社,1986（昭和61）年3月20日第4刷,
885,与謝野 晶子,3317,産屋物語,新字新仮名,,Nana ohbe,門田裕志,公開,2002-01-10,与謝野晶子評論集,岩波文庫、岩波書店,1994（平成6年）年6月6日10刷,
154,田中 貢太郎,45524,海坊主,新字新仮名,,Hiroshi_O,noriko saito,公開,2010-11-26,伝奇ノ匣6　田中貢太郎日本怪談事典,学研Ｍ文庫、学習研究社,2003（平成15）年10月22日初版,2003（平成15）年10月22日初版
